company_id,company,count
37103,"""DIA"" Productions GmbH & Co. KG",1
12856,1.85 Films,1
48509,10 West Studios,1
5517,100 Bares,2
56736,1019 Entertainment,1
54684,101st Street Films,1
6691,10th Hole Productions,1
19233,120 Films,1
5113,120dB Films,2
23503,13 Ghosts Productions Canada Inc.,1
436,1492 Pictures,17
10886,16 Block Productions,1
68080,1812 Productions,1
21468,1818,1
14358,1821 Pictures,3
20877,19 Entertainment,1
8532,1984 Private Defense Contractors,5
2689,2 Entertain,1
29694,2 Loop Films,1
62546,2.4.7. Films,1
1232,2003 Productions,1
3635,20th Century Fox Home Entertainment,1
18065,20th Century Fox Russia,1
2575,21 Laps Entertainment,12
77472,21st Century Film Production,1
57409,22 & Indiana Pictures,1
2157,26 Films,2
846,2929 Productions,12
23644,2DUX²,1
38011,2S Films,1
787,3 Arts Entertainment,4
36390,3 Arts Entertainment,8
12328,3 Dogs and a Pony,1
81141,3 Miles Apart Productions Ltd.,1
19248,3 in the Box,1
27271,30 Something Productions,1
45969,31 Juin Films,1
60171,33 Pictures,1
34035,33andOut Productions,1
5984,34th Street Films,1
2894,360 Pictures,1
22128,369 Productions,1
5313,3D Entertainment,1
22947,3DTK,1
7413,3Foot7,1
702,3L Filmproduktion GmbH,1
3208,3Mark Entertainment,1
80711,3ality Digital Entertainment,1
72018,3rd Partner Productions,1
38957,4 1/2 Film,1
3035,4 Kids Entertainment,1
4319,40 Acres & A Mule Filmworks,19
11367,4DH Films,1
94551,4Go West Productions,1
20665,4M,1
11678,4½,1
47354,5150 Action,4
53413,80 Days Productions,1
23008,87Eleven,1
18208,8:38 Productions,1
2939,98 MPH Productions,1
4502,A B Corp,1
59,A Band Apart,6
5855,A Bigger Boat,1
19865,A Grand Elephant,1
5389,A Happy Place,1
41962,A Hot Dog,1
29693,A Loopy Production LLC,1
19148,A Lucky Old Sun Production,1
64144,A May Sky Picture Entertainment,1
19959,A Plus Image,1
16144,A Space Between,1
1519,A&B Producoes,1
11858,A&E Television Networks,1
54281,A-Line Pictures,1
2248,A-Mark Entertainment,1
6128,A-Team,1
3922,A. Film,1
11473,A.J.O.Z. Films,2
59778,A113,1
41077,A24,9
634,ABC Pictures,1
68550,ADF Acquisitions,1
89132,AE Two Film Productions,1
19523,AFG Talons Productions,1
51860,AI-Film,1
2800,AMC Pictures,1
21817,ANA Media,2
12943,APJAC Productions,3
11005,AR Films,2
53610,AR-TL,1
1251,ARD,1
10947,ARD Degeto Film,3
5766,ARTE,2
3273,ASAF,1
32245,ASIG Productions,1
44419,ASQA Film Partnership,1
75277,AST Studios,1
1962,ATO Pictures,1
53904,ATR Films,1
37726,"AV Club, The",1
3471,AV Pictures,1
494,AVCO Embassy Pictures,3
902,AZL Productions KG,1
297,Aardman Animations,5
2724,Abandon Entertainment,1
23700,Abbolita Productions,1
12383,Abe Shuji,1
36430,Abraham Productions,1
54946,Absinthe Productions,1
67883,Absolute Entertainment (II),1
87857,Abu Dhabi Film Commission,1
31866,Abundant Productions,1
54030,Academy Films,2
18519,Acajou Films,1
2339,Access Films,1
4120,Access Motion Picture Group,1
56343,Ace Film Company,1
6100,Achte Babelsberg Film,1
978,Across the River Productions,1
90897,Act III,1
1153,Act III Communications,2
2361,Ad Hominem Enterprises,3
52241,AdScott Pictures,1
1424,Ada Films,1
3334,Adam Fields Productions,2
5565,Adam Productions,1
43394,Adam Schroeder Productions,1
4665,Addis Wechsler Pictures,1
40451,Adela Pictures,1
3703,Adlabs Films Ltd.,1
36765,Adventure Pictures,1
7309,Aegis Film Fund,2
10156,Affirm Films,6
10069,"Afrodita Audiovisual, A.I.E.",1
3608,After Dark Films,5
85248,After Eden Pictures,1
26343,Against the Wild Films,1
266,Agencja Produkcji Filmowej,1
25975,Aggregate Film,1
37361,Aggregate Films,1
794,Agi Orsi Productions,1
36299,Agresywna Banda,1
69542,Ahimsa Films,1
11732,Airborne Productions,1
63928,Aitysh Film,1
22596,Aja / Levasseur Productions,1
