keyword_id,keyword,count
213097,15th century,2
208244,16th century,3
207941,17th century,3
160279,18th century,7
210184,1910s,4
207876,1920s,1
214548,1930s,8
207883,1940s,8
208611,1950s,13
208992,1960s,19
1228,1970s,36
208289,1980s,15
210608,1990s,3
207928,19th century,21
236590,2000 ad,1
232222,20th century,1
209493,21st century,5
226146,25th century,1
235792,2nd century,1
209714,3d,98
8303,abandoned house,1
215861,abandoned mine,2
235261,abduction,1
209070,abolitionist,1
209560,aboriginal,2
209619,aborigine,3
208591,abortion,2
209409,abraham lincoln,2
227595,absorbing power,1
214655,absurdism,3
207691,abuse,3
212642,abusive father,1
212643,abusive husband,3
208170,abusive marriage,1
209838,acapella,2
223221,accepting death,1
207819,accident,8
223162,accidental love,1
207697,accountant,2
208580,acid,2
208586,acting,1
210313,action,3
219404,action hero,8
208314,action heroine,2
208647,activist,4
207716,actor,9
225822,actors,1
207583,actress,6
186846,adaptation,4
164296,addict,2
4436,addicted,2
6782,addiction,6
3494,admiration,1
208744,admissions,1
704,adolescence,8
170325,adolescent boy,1
3063,adolf hitler,4
185927,adopted child,3
2393,adoption,19
4130,adoptive father,4
8018,adoptive mother,2
4680,adrenalin,1
234505,adrenaline junkie,1
161919,adult animation,7
198929,adult as a child,2
11192,adult humor,1
596,adultery,38
234197,adultress,1
5212,advancement,4
4414,adventure,18
175428,adventurer,2
5440,adversary,3
15086,advertising,2
168750,advertising executive,3
5920,advertising expert,3
5999,advice,4
10237,aerial combat,1
174954,aerial shot,1
220670,aerialist,1
163405,aerobics,1
229299,affair,4
5608,affection,7
3541,afghanistan,7
409,africa,13
13069,african,1
12532,african american,9
166993,african american child,1
199688,african american comedy,1
164443,african american music,1
4737,african national congress,1
179430,aftercreditsstinger,170
6155,afterlife,16
965,age difference,12
33705,agent,14
209756,agent coulson,1
2879,aggression,1
5160,aggression by animal,5
4015,aggression by plant,2
202371,aggressive,1
4995,aging,7
172684,agnostic,1
5888,agriculture,2
740,aids,9
3046,ailul al aswad,1
13152,air,1
233360,air attack,1
